year,month,usd_goal_real
1970,1,5300.852857142857
2009,4,5666.263157894737
2009,5,4523.013513513513
2009,6,3555.76
2009,7,10088.910256410256
2009,8,5480.539130434782
2009,9,10039.96922413793
2009,10,5591.649484536082
2009,11,6638.5229816513765
2009,12,5929.648846153846
2010,1,7050.440472972972
2010,2,7103.408814016172
2010,3,8595.045009784735
2010,4,7657.285604719765
2010,5,6130.0148947368425
2010,6,6838.833220494053
2010,7,47352.52740393626
2010,8,5926.544653567735
2010,9,25562.635982490272
2010,10,7627.555231404959
2010,11,8185.606564465408
2010,12,8039.798838862559
2011,1,10729.653745294856
2011,2,12470.551919023848
2011,3,8817.481683950617
2011,4,18097.994707980382
2011,5,9858.83680506993
2011,6,10180.925156931124
2011,7,9759.94799831081
2011,8,10645.489577586208
2011,9,12099.30329149233
2011,10,21107.45100822155
2011,11,11535.000160796324
2011,12,13306.984474865349
2012,1,13050.813744402341
2012,2,12727.232951161406
2012,3,15660.498737959988
2012,4,16754.879080307448
2012,5,22674.711395759718
2012,6,28993.23758594347
2012,7,17709.590611353713
2012,8,24049.8648111332
2012,9,17834.40466798159
2012,10,20645.289919563347
2012,11,24578.793292452832
2012,12,24976.339388286335
2013,1,27918.27216626214
2013,2,37152.72742482884
2013,3,20782.10102210663
2013,4,24256.021904284637
2013,5,28658.05256178706
2013,6,26601.48468206591
2013,7,25750.54181583697
2013,8,28272.42298520203
2013,9,28387.47174912137
2013,10,27999.422260190408
2013,11,26586.822156815997
2013,12,29835.165349794213
2014,1,31140.219237410096
2014,2,21986.417896253577
2014,3,25998.311658077506
2014,4,53532.85613205446
2014,5,31032.958610213296
2014,6,59087.05708194129
2014,7,51935.39223665887
2014,8,86808.8688990578
2014,9,33441.26274009085
2014,10,55444.10655102045
2014,11,32409.480532631922
2014,12,90927.9517545927
2015,1,62792.717315939335
2015,2,70390.19772493739
2015,3,69134.24477283878
2015,4,51763.15439759036
2015,5,89317.7482180773
2015,6,68442.21185529546
2015,7,76215.17892364012
2015,8,101212.14928708728
2015,9,95446.19423057564
2015,10,38236.00487257389
2015,11,94462.63703093129
2015,12,83040.948545812
2016,1,59811.04565459614
2016,2,75506.2360876802
2016,3,47977.15029863924
2016,4,67630.35053619309
2016,5,76572.19607411698
2016,6,50726.877378185534
2016,7,51838.53266248846
2016,8,63452.96254947082
2016,9,49780.06238128006
2016,10,39222.15825635593
2016,11,45236.26609123231
2016,12,89142.54502291486
2017,1,56992.878573354224
2017,2,32919.1770648125
2017,3,33685.48315809516
2017,4,22287.51431408356
2017,5,33812.747481265666
2017,6,36716.92464698049
2017,7,35072.861751599834
2017,8,91097.88944661309
2017,9,64630.56660487801
2017,10,23879.854584398967
2017,11,45368.58051221598
2017,12,25988.051068702265
2018,1,13892.887580645154
